19,狩獵及採集,11,飲料,142,1
19,狩獵及採集,24,醫療藥品,452,1
19,狩獵及採集,55,其他運輸倉儲,1178,1
20,鐵,07,建築用砂石,20406120,1
20,鐵,29,鋼鐵,48974910,1
20,鐵,31,金屬製品,2218,1
21,銅,15,皮革、毛皮及其製品,22,1
21,銅,16,木材及其製品,10,1
21,銅,18,印刷及資料儲存媒體複製,1302,1
21,銅,25,橡膠製品,498,1
21,銅,26,塑膠製品,504,1
21,銅,28,非金屬礦物製品,48,1
21,銅,29,鋼鐵,12842,1
21,銅,30,其他金屬,281750,1
21,銅,31,金屬製品,107020,1
21,銅,32,半導體,29168,1
21,銅,33,光電材料及元件,238448,1
21,銅,34,其他電子零組件,386,1
21,銅,35,電腦、電子及光學產品,421696,1
21,銅,36,輸配電,4118,1
21,銅,37,其他電力設備,20026,1
21,銅,38,機械設備,67510,1
21,銅,39,汽車及其零件,1684,1
21,銅,40,其他運輸工具,2998,1
21,銅,41,家具,13222,1
21,銅,42,其他製品及機械修配,836,1
21,銅,61,不動產服務,182,1
22,鎳,13,紡織品,16,1
22,鎳,15,皮革、毛皮及其製品,22,1
22,鎳,18,印刷及資料儲存媒體複製,22,1
22,鎳,19,石油煉製品,80,1
22,鎳,21,石油化工原料,14,1
22,鎳,22,其他化學材料,8026,1
22,鎳,23,化學製品,834,1
22,鎳,25,橡膠製品,46,1
22,鎳,27,水泥,30,1
22,鎳,28,非金屬礦物製品,226,1
22,鎳,29,鋼鐵,38606,1
22,鎳,30,其他金屬,15034,1
22,鎳,31,金屬製品,7542,1
22,鎳,32,半導體,10020,1
22,鎳,33,光電材料及元件,2350,1
22,鎳,34,其他電子零組件,4458,1
22,鎳,35,電腦、電子及光學產品,2834,1
22,鎳,36,輸配電,1376,1
22,鎳,37,其他電力設備,422,1
22,鎳,38,機械設備,1634,1
22,鎳,39,汽車及其零件,300,1
22,鎳,40,其他運輸工具,436,1
22,鎳,41,家具,1996,1
22,鎳,42,其他製品及機械修配,30,1
22,鎳,47,資源回收處理,24,1
22,鎳,61,不動產服務,562,1
22,鎳,62,專業、科學及技術服務,186,1
22,鎳,68,其他服務,30,1
23,鉛,13,紡織品,24,1
23,鉛,15,皮革、毛皮及其製品,32,1
23,鉛,18,印刷及資料儲存媒體複製,32,1
23,鉛,19,石油煉製品,118,1
23,鉛,21,石油化工原料,22,1
23,鉛,22,其他化學材料,11950,1
23,鉛,23,化學製品,1242,1
23,鉛,25,橡膠製品,68,1
23,鉛,27,水泥,44,1
23,鉛,28,非金屬礦物製品,336,1
23,鉛,29,鋼鐵,57484,1
23,鉛,30,其他金屬,22386,1
23,鉛,31,金屬製品,11230,1
